sample,cuda_time,permutation_time
0,0,019701,2.352
1,0,019661,2.337
2,0,019660,2.334
3,0,019662,2.353
4,0,019692,2.344
5,0,019660,2.334
6,0,019661,2.337
7,0,019669,2.348
8,0,019665,2.344
9,0,019699,2.346
10,0,019663,2.351
11,0,019667,2.334
12,0,019660,2.348
13,0,019816,2.345
14,0,019690,2.347
15,0,019660,2.348
16,0,019656,2.344
17,0,019661,2.340
18,0,019827,2.348
19,0,019689,2.346
20,0,019661,2.344
21,0,019662,2.348
22,0,019696,2.345
23,0,020933,2.346
24,0,019688,2.336
25,0,019663,2.325
26,0,019665,2.329
27,0,019664,2.348
28,0,019663,2.344
29,0,019688,2.347
30,0,019662,2.348
31,0,019685,2.335
32,0,019668,2.346
33,0,019657,2.341
34,0,019697,2.340
35,0,019663,2.329
36,0,019661,2.339
37,0,019667,2.327
38,0,019832,2.325
39,0,019687,2.338
40,0,019668,2.337
41,0,019665,2.335
42,0,019657,2.337
43,0,019667,2.335
44,0,019688,2.326
45,0,019658,2.333
46,0,019661,2.332
47,0,019663,2.328
48,0,019687,2.346
49,0,019808,2.343
50,0,019663,2.331
51,0,019662,2.341
52,0,019660,2.347
53,0,019690,2.323
54,0,019813,2.345
55,0,019666,2.343
56,0,019669,2.342
57,0,019660,2.342
58,0,019660,2.346
59,0,019692,2.337
60,0,019667,2.350
61,0,019661,2.347
62,0,019658,2.322
63,0,020652,2.322
64,0,019691,2.329
65,0,019662,2.350
66,0,019659,2.336
67,0,019664,2.338
68,0,020219,2.351
69,0,019695,2.333
70,0,019658,2.347
71,0,019659,2.343
72,0,019666,2.342
73,0,021001,2.346
74,0,019689,2.339
75,0,019663,2.345
76,0,019665,2.347
77,0,019661,2.340
78,0,021681,2.338
79,0,019679,2.347
80,0,019662,2.352
81,0,019662,2.349
82,0,019657,2.339
83,0,020915,2.338
84,0,019693,2.335
85,0,019672,2.336
86,0,019665,2.345
87,0,019665,2.341
88,0,020632,2.338
89,0,019702,2.334
90,0,019660,2.348
91,0,019670,2.341
92,0,019656,2.343
93,0,022246,2.336
94,0,019812,2.330
95,0,019659,2.347
96,0,019660,2.325
97,0,019659,2.331
98,0,020656,2.344
99,0,019686,2.343
100,0,019670,2.324
101,0,019663,2.325
102,0,019688,2.315
103,0,020234,2.346
104,0,019665,2.347
105,0,019659,2.344
106,0,019665,2.325
107,0,019670,2.343
108,0,020481,2.346
109,0,019666,2.340
110,0,019665,2.337
111,0,019663,2.347
112,0,020617,2.336
113,0,019688,2.339
114,0,019664,2.346
115,0,019660,2.345
116,0,019660,2.344
117,0,020597,2.324
118,0,019692,2.327
119,0,019662,2.361
120,0,019663,2.338
121,0,019658,2.349
122,0,022291,2.354
123,0,019695,2.357
124,0,019660,2.354
125,0,019662,2.337
126,0,019663,2.333
127,0,020588,2.335
128,0,019696,2.349
129,0,019663,2.343
130,0,019666,2.338
131,0,019662,2.346
132,0,020968,2.326
133,0,019811,2.344
134,0,019658,2.341
135,0,019667,2.349
136,0,019661,2.349
137,0,020575,2.333
138,0,019692,2.350
139,0,019669,2.350
140,0,019670,2.347
141,0,019987,2.349
142,0,020598,2.336
143,0,019689,2.337
144,0,019665,2.329
145,0,019661,2.347
146,0,019828,2.349
147,0,020263,2.338
148,0,019690,2.344
149,0,019665,2.346
150,0,019662,2.341
151,0,019662,2.340
152,0,022680,2.351
153,0,019784,2.349
154,0,019663,2.326
155,0,019662,2.348
156,0,019662,2.339
157,0,020874,2.342
158,0,019686,2.328
159,0,019663,2.332
160,0,019654,2.323
161,0,019661,2.339
162,0,020795,2.324
163,0,019680,2.325
164,0,019665,2.336
165,0,019666,2.344
166,0,019660,2.344
167,0,020199,2.350
168,0,019687,2.329
169,0,019660,2.349
170,0,019659,2.349
171,0,019670,2.333
172,0,020633,2.332
173,0,019684,2.348
174,0,019664,2.346
175,0,019658,2.338
176,0,019659,2.343
177,0,020566,2.336
178,0,019698,2.347
179,0,019668,2.330
180,0,019668,2.353
181,0,019666,2.337
182,0,020292,2.347
183,0,019695,2.333
184,0,019665,2.335
185,0,019687,2.329
186,0,019689,2.346
187,0,021173,2.344
188,0,019667,2.353
189,0,019661,2.346
190,0,019660,2.339
191,0,019664,2.325
192,0,020636,2.336
193,0,019660,2.328
194,0,019659,2.350
195,0,019659,2.323
196,0,019667,2.336
197,0,020106,2.341
198,0,019662,2.325
199,0,019660,2.344
200,0,019836,2.343
201,0,019692,2.345
202,0,020124,2.344
203,0,019659,2.345
204,0,019843,2.345
205,0,019688,2.334
206,0,019662,2.350
207,0,019739,2.346
208,0,019662,2.344
209,0,019664,2.343
210,0,019673,2.331
211,0,019661,2.346
212,0,020216,2.346
213,0,019661,2.335
214,0,019663,2.343
215,0,019658,2.346
216,0,019664,2.348
217,0,020194,2.342
218,0,019825,2.348
219,0,019655,2.352
220,0,019674,2.327
221,0,019684,2.342
222,0,019661,2.344
223,0,019666,2.352
224,0,019664,2.340
225,0,019658,2.347
226,0,019684,2.349
227,0,021023,2.346
228,0,019663,2.346
229,0,019661,2.351
230,0,019665,2.348
231,0,019662,2.335
232,0,020225,2.345
233,0,019662,2.344
234,0,019659,2.350
235,0,019665,2.333
236,0,019662,2.328
237,0,021319,2.319
238,0,019666,2.347
239,0,019658,2.344
240,0,019664,2.353
241,0,019661,2.320
242,0,019688,2.343
243,0,019663,2.349
244,0,019661,2.326
245,0,019659,2.337
246,0,019662,2.348
247,0,019690,2.331
248,0,019672,2.347
249,0,019663,2.344
250,0,019694,2.348
251,0,019676,2.351
252,0,019669,2.346
253,0,019659,2.330
254,0,019660,2.325
255,0,019664,2.350
